"Sunrise and sunset times in London"
"","DATE","","","","","Sun","","","","Moon",""
"Year","Month","Day","Age of Moon","Rise","Culm","Set","Constellation","Rise","Culm","Set","Constellation"
"2024","03","01","21 days","06:43","12:11","17:40","        Aquarius","--:--","03:58","08:19","           Libra"
"2024","03","02","22 days","06:41","12:11","17:42","        Aquarius","00:43","04:44","08:36","           Libra"
"2024","03","03","23 days","06:38","12:11","17:43","        Aquarius","02:02","05:35","09:02","        Scorpius"
"2024","03","04","24 days","06:36","12:10","17:45","        Aquarius","03:19","06:31","09:39","       Ophiuchus"
"2024","03","05","25 days","06:34","12:10","17:47","        Aquarius","04:26","07:30","10:36","     Sagittarius"
"2024","03","06","26 days","06:32","12:10","17:49","        Aquarius","05:16","08:31","11:52","     Sagittarius"
"2024","03","07","27 days","06:30","12:10","17:50","        Aquarius","05:52","09:32","13:22","     Capricornus"
"2024","03","08","28 days","06:27","12:09","17:52","        Aquarius","06:16","10:31","14:58","     Capricornus"
"2024","03","09","29 days","06:25","12:09","17:54","        Aquarius","06:34","11:26","16:34","        Aquarius"
"2024","03","10","30 days","06:23","12:09","17:56","        Aquarius","06:48","12:19","18:08","        Aquarius"
"2024","03","11","01 days","06:21","12:09","17:57","        Aquarius","07:01","13:11","19:39","          Pisces"
"2024","03","12","02 days","06:18","12:08","17:59","        Aquarius","07:15","14:02","21:10","          Pisces"
"2024","03","13","03 days","06:16","12:08","18:01","          Pisces","07:30","14:54","22:41","           Aries"
"2024","03","14","04 days","06:14","12:08","18:03","          Pisces","07:48","15:48","--:--","           Aries"
"2024","03","15","05 days","06:12","12:07","18:04","          Pisces","08:13","16:43","00:09","          Taurus"
"2024","03","16","06 days","06:09","12:07","18:06","          Pisces","08:47","17:40","01:31","          Taurus"
"2024","03","17","07 days","06:07","12:07","18:08","          Pisces","09:33","18:36","02:42","          Taurus"
"2024","03","18","08 days","06:05","12:07","18:09","          Pisces","10:32","19:31","03:38","          Auriga"
"2024","03","19","09 days","06:03","12:06","18:11","          Pisces","11:40","20:22","04:19","          Gemini"
"2024","03","20","10 days","06:00","12:06","18:13","          Pisces","12:53","21:10","04:48","          Cancer"
"2024","03","21","11 days","05:58","12:06","18:15","          Pisces","14:07","21:54","05:08","          Cancer"
"2024","03","22","12 days","05:56","12:05","18:16","          Pisces","15:19","22:36","05:23","             Leo"
"2024","03","23","13 days","05:53","12:05","18:18","          Pisces","16:30","23:16","05:35","             Leo"
"2024","03","24","14 days","05:51","12:05","18:20","          Pisces","17:39","23:55","05:46","             Leo"
"2024","03","25","15 days","05:49","12:05","18:21","          Pisces","18:49","--:--","05:55","           Virgo"

"All times computed for London (latitude 51.51; longitude -0.13) and expressed in London time."
"Ephemeris computed by Dominic Ford, 10 December 2024."
"<https://in-the-sky.org/>"
